Unnamed: 0,UR,UL,LU,LF,LD,LB,FR,FD,FL,RU,RB,RD,RF,BL,BD,BR,DF,DR,DB,DL
UR,,,,,,,,,,,,,,,,,,,,
UL,"[M2 U' : [M', U2]]",,,,,,,,,,,,,,,,,,,
LU,"[L' U L, S]",,,,,,,,,,,,,,,,,,,
LF,"[U, R' E R]","[U : [R' E R, U]]","[S : [U, R' E R]]",,,,,,,,,,,,,,,,,
LD,"[U' : [L E L', U']]","[U', L E L']","[U' : [S, L F' L']]","[L, U' S' U]",,,,,,,,,,,,,,,,
LB,"[U, R E' R']","[U : [R E' R', U]]","[S : [U, R E' R']]","[R E R' U R : [E, R2]]","[U' S' U, L']",,,,,,,,,,,,,,,
FR,"[u : [R' E R, U']]","[U', L' E2 L]","[M : [U, L E' L']]","[E, R U R']","[L' E' : [L U' L', E']]","[R : [R E' R', U]]",,,,,,,,,,,,,,
FD,(U' M' U' M)2,(U M' U M)2,"[U' L' F' : [E', L2]]","[U M' : [U', r' E r]]","[U' : [L F L', S]]","[U M' : [U', R E' R']]","[U2 : [M', U' R U]]",,,,,,,,,,,,,
FL,"[U, R E2 R']","[u' : [L E' L', U]]","[L u' L : [E', L2]]",,"[S' U R : [E, R2]]","[E, L' U' L]","[R' U R : [E, R2]]","[U' : [L', U' M' U]]",,,,,,,,,,,,
RU,,"[R U' R', S']","[M' U' : [M, U2]]","[l' U' : [M, U2]]","[R' B' R : [S', R2]]","[R' E' R U R : [E, R2]]","[R' u R : [E, R2]]","[U R F : [R2, E]]","[r' : [E, R U' R']]",,,,,,,,,,,
RB,"[U' : [L' E L, U']]","[U', L' E L]","[R' M' U' : [M, U2]]","[l U L : [E, L2]]","[S : [U', L' E L]]","[U' E' R : [S, R2]]","[R U R', E']","[U' l' : [E, L U L']]","[L' : [U', L' E L]]","[S' : [U', L' E L]]",,,,,,,,,,
RD,"[U, R' E' R]","[U : [R' E' R, U]]","[L B L : [S, L2]]","[S' : [R' E R, U]]","[R B' R : [S', R2]]","[S' : [R E' R', U]]","[S U' L : [E', L2]]","[U : [S', R' F' R]]","[R E2 : [R' U R, E']]","[U : [S', R' F R]]","[R, U S U']",,,,,,,,,
RF,"[U' : [L E' L', U']]","[U', L E' L']","[r U' : [M, U2]]","[u' R' : [S, R2]]","[S : [U', L E' L']]","[r' U' R : [E', R2]]",,"[U' L : [E', l' U l]]","[L' U' L, E']","[S' : [U', L E' L']]","[M U R : [S, R2]]","[U S U', R']",,,,,,,,
BL,"[U, R' E2 R]","[E' : [U', L' E L]]","[L U2 : [L' S L, U']]","[E', L U' L']","[S' U R' : [E', R2]]",,"[R' U R' : [E', R2]]","[U' : [L, U' M' U]]","[U L : [S', L2]]","[M : [U', r E' r']]","[E, L U' L']","[R' E' : [R U R', E']]","[L : [L E' L', U']]",,,,,,,
BD,"[M, R U R' U']","[M, L' U' L U]","[U' D : [S, L F' L']","[U M : [U, R' E R]]","[U' : [S', R' D R]]","[D L' D', M']","[M, U R U']",U M' U M U2 M U' M' U,"[M, U' L' U]","[U D' : [S', R' F R]]","[M2 : [U' R' U, M']]","[U : [R B R', S']]","[U' M : [U', L E' L']]","[M, U' L U]",,,,,,
BR,"[E : [U, R E' R']]","[U', L E2 L']","[M : [U, l' E l]]","[R' : [R' E R, U]]","[L E : [L' U' L, E]]","[E', R' U R]","[U' R' : [S, R2]]","[U : [R', U M' U']]","[R U R' : [E, R2]]","[l U : [l' E l, U]]",,"[S U' L : [E, L2]]","[E, R' U R]","[R U R : [E', R2]]","[U R' U', M]",,,,,
DF,"[r M' : [U R' U', M2]]","[l' M' : [U' L U, M2]]","[l' : [U L U', M2]]","[M' : [U L' U', M2]]","[U' : [S', L' F L]]","[M' : [U L U', M2]]","[M2, U R U']",,"[U D R' : [E, R2]]","[r : [U' R' U, M2]]","[M' : [U' R' U, M2]]","[U : [S, R F' R']]","[M' : [U' R U, M2]]","[U D R : [E', R2]]","[D' : [R' B' R, S']]","[U' D' L' : [E, L2]]",,,"[M2 : [U2, M']]",
DR,"[U, R E' R2 E R]","[r' F R : [S, R2]]","[r' : [U, L' E L]]","[u R : [E', R2]]","[L B L', S]","[U E R' : [E, R2]]",U' R' U' R' U R U R U R',"[U' R' F' R' : [S, R2]]","[U R' : [E, R2]]","[R B' R', S']","[U E R : [E', R2]]",,"[u R' : [E, R2]]","[U R : [E', R2]]","[U R2 U', M]",U' R U R U' R' U' R' U' R U2,"[U R' D' R' : [S', R2]]",,,
DB,"[M' U2 M', U']","[R B : [R' S R, B2]]","[L B' : [E, L2]]","[l U : [L2, S']]","[U' : [S', L B' L']]","[r2 F : [L2, E']]","[U' D L : [E', L2]]","[D : [R' B' R, S']]","[U D' R' : [E, R2]]","[R' B : [E', R2]]","[l2 F' : [R2, E]]","[U : [S, R' B R]]","[r' U' : [R2, S]]","[U D' R : [E', R2]]",,"[U' R' U' : [M, U2]]",(M' u2)2,"[l U : [R' E' R, U2]]",,
DL,"[l F' L' : [S', L2]]","[L U L : [S', L2]]","[L' B L, S]","[u' L : [E', L2]]",,"[U' E' L' : [E, L2]]","[U' L : [E', L2]]","[U D : [S, R F' R']]",U L U L U' L' U' L' U' L,"[l : [U', R E' R']]","[U' E' L : [E', L2]]","[R' B' R, S']","[u' L' : [E, L2]]","[U R : [E' R2 E, l]]","[U' L2 U, M]","[U' L' : [E, L2]]",U D' R' D' R D R D R D' R' U',"[U : [S', R2]]","[l U' : [R E' R', U2]]",
