Unnamed: 0,UB,UR,UL,LU,LF,LD,LB,FR,FD,FL,RU,RB,RD,RF,BU,BL,BD,BR,DF,DR,DB,DL
UB,,"[R2 U' : [R2, S]]","[L2 U: [L2, S']]",,,,,,,,,,,,,,,,,,,
UR,"[R2 U : [R2, S]]",,,,,,,,,,,,,,,,,,,,,
UL,"[L2 U' : [L2, S']]","[M2 U : [M, U2]]",,,,,,,,,,,,,,,,,,,,
LU,"[S' U : [S', L2]]","[S', L F' L']",,,,,,,,,,,,,,,,,,,,
LF,"[U' : [R' E R, U2]]","[U', R' E R]","[U' : [R' E R, U']]","[S : [U', R' E R]]",,,,,,,,,,,,,,,,"[R' E R : [R E' R', U']]",,"[R F2 : [R' S' R, F']]"
LD,"[U : [R' S R, U2]]","[U : [L E L', U]]","[U, L E L']","[F L' : [E', L2]]","[L, U S' U']",,,,,,,,,,,,,,,,,
LB,"[U' : [R E' R', U2]]","[U', R E' R']","[U' : [R E' R', U']]","[S : [U', R E' R']]","[R' E' R U' R : [E', R2]]","[U S' U', L']",,,,,,,,,,,"[U' R : [E', r' U r]]",,,,,
FR,"[R' U' : [S, R2]]","[E' : [U', R' E R]]","[U, L' E2 L]","[S' U L' : [E', L2]]","[E, R U' R']","[D : [U' R U, M']]","[R : [R E' R', U']]",,,,,,,,,,,,"[U D' L' : [E', L2]]",,,
FD,"[R' F' : [R U R', E]]","[r : [U' R' U, M]]","[l' : [U L U', M]]","[U' D : [S', R' F R]]","[D' L D, M]","[U : [L F L', S]]","[D' L' D, M]","[M', U' R U]",,,,,,,,,,,,,,
FL,"[L U : [S', L2]]","[U', R E2 R']","[E : [U, L E' L']]","[L' U2 : [L S L', U]]",,"[D : [U L' U', M']]","[E, L' U L]","[R' U' R : [E, R2]]","[U L' U', M']",,,,,,,,,,,,,
RU,"[S U' : [S, R2]]",,"[S, R' F R]","[M U : [M', U2]]","[U' M : [U', R' E R]]","[L F' L : [S', L2]]","[l U : [M', U2]]","[R U : [R' S' R, U]]","[r : [U R' U', M']]","[S U' R' : [E, R2]]",,,,,,,,,,,,
RB,"[U : [R' S' R, U2]]","[U : [L' E L, U]]","[U, L' E L]","[r' U : [M', U2]]","[r U R' : [E, R2]]","[L F' : [E, L2]]","[u R : [S, R2]]","[R U' R', E']","[M, D R D']","[L' : [U, L' E L]]","[S' : [U, L' E L]]",,,,,,,,,,,
RD,"[U' : [R' E' R, U2]]","[U', R' E' R]","[U' : [R' E' R, U']]","[R' F R : [S, R2]]","[M' U R' : [E, R2]]","[R' F R' : [S', R2]]","[R' F : [R2, E']]","[R' f R' : [S', R2]]","[U' : [S', R' F' R]]","[R E2 : [R' U' R, E']]","[F' R : [E, R2]]","[R, U' S U]",,,,,,,,,,
RF,"[U : [R S' R', U2]]","[U : [L E' L', U]]","[U, L E' L']","[R M U : [M', U2]]","[U E R' : [S, R2]]","[M' U' L' : [E', L2]]","[l' U' L' : [E', L2]]",,"[M, D R' D']","[L' U L, E']","[S' : [U, L E' L']]","[M' U' R : [S, R2]]","[U' S U, R']",,,,,,,,,
BU,,"[r' : [U' R U, M']]","[l : [U L' U', M']]","[L' : [U' L U, M']]","[U' L' U, M']","[U' D : [S, R' F' R]]","[U' L U, M']","[M, U' R U]","[U' : [S, R' F' R]]","[M, U L' U']","[R : [U R' U', M']]","[U R' U', M']","[U' D' : [S, R' F' R]]","[U R U', M']",,,,,,,,
BL,"[L' U : [S', L2]]","[U', R' E2 R]","[u : [L' E L, U']]","[L U2 : [L' S L, U]]","[E', L U L']","[D : [U L U', M']]",,"[R' U' R' : [E', R2]]","[U L U', M']","[U' L : [S', L2]]","[S U' R' : [E', R2]]","[E, L U L']","[R' E' : [R U' R', E']]","[L : [L E' L', U]]","[U L U', M]",,,,,,,
BD,"[U' R' B R : [S, R2]]",(U M U M')2,(U' M U' M')2,"[U' D' : [S', R' F R]]","[U' M : [U, R' E R]]","[U : [S', R' D R]]",[L M' : (U M' U M)2],"[U2 : [M, U R U']]",U' M' U M U2 M U' M' U',"[U2 : [M, U' L' U]]","[R' B : [F, R S' R']]","[U M : [U', l' E l]]","[U' : [R B R', S']]","[U M : [U', L E' L']]","[U' : [R B R', S]]","[U2 : [M, U' L U]]",,,,"[D' R' F : [E, R2]]",,
BR,"[R U' : [S, R2]]","[u' : [R E' R', U]]","[U, L E2 L']","[S' U L : [E, L2]]","[R' : [R' E R, U']]","[D : [U' R' U, M']]","[E', R' U' R]","[U R' : [S, R2]]","[U' R' U, M']","[R U' R' : [E, R2]]","[R u' R : [E', R2]]",,"[D' : [U' R' U, M']]","[E, R' U' R]","[U' R' U, M]","[R U' R : [E', R2]]","[U' : [R', U' M U]]",,,,,
DF,"[U2, M']","[M U2 M, U]","[R' F' : [R S R', F2]]","[L' F' : [L2, E']]","[L2 F : [E', L2]]","[L F : [E', L2]]","[F : [E', L2]]",(R' f2 R2 U' R')2,,"[U' D R' : [E, R2]]","[R F : [R2, E]]","[F' : [E, R2]]","[R' F' : [E, R2]]","[R2 F' : [E, R2]]","[U : [S, R' F' R]]","[U' D R : [E', R2]]","[D' : [R F R', S']]","[U R' U : [M', U2]]",,,"[M' : [U2, M']]",
DR,"[U' : [S, R2]]","[U', R E' R2 E R]","[r' F' R : [S, R2]]","[L : [F', L S L']]","[R' F : [R S' R', F]]","[L' F' L, S]","[u' R' : [E, R2]]",U R' U' R' U R U R U R' U2,"[U' R2 U, M']","[U' R' : [E, R2]]","[R' F R, S']","[u' R : [E', R2]]",,"[U' E' R' : [E, R2]]","[U' R2 U, M]","[U' R : [E', R2]]","[D' R' F' : [E, R2]]",U R U R U' R' U' R' U' R,"[R' F : [R S' R', F2]]",,,
DB,"[M, U2]","[r M' : [U' R' U, M2]]","[l' M' : [U L U', M2]]","[D : [L F' L', S]]","[M : [U' L' U, M2]]","[U : [S', L B' L']]","[M : [U' L U, M2]]","[M2, U' R U]","[D : [R F R', S']]","[U' D' R' : [E, R2]]","[D' : [R' F R, S']]","[M : [U R' U', M2]]","[U' : [S, R' B R]]","[M : [U R U', M2]]","[U : [S, R B R']]","[U' D' R : [E', R2]]",,"[M2, U' R' U]",(u2 M')2,"[M2, U' R2 U]",,
DL,"[U : [S', L2]]","[l F L' : [S', L2]]","[S' R' F R' : [S', R2]]","[L F' L', S]","[U E L : [E', L2]]",,"[u L' : [E, L2]]","[U L : [E', L2]]","[U L2 U', M']","[U' R' : [E R2 E', l']]","[R' : [F, R' S' R]]","[u L : [E', L2]]","[R F R', S']","[U E L' : [E, L2]]","[U D : [S, R' F' R]]",U' L' U' L' U L U L U L',"[U' D' : [S, R' B R]]","[U L' : [E, L2]]","[S' R' F : [E, R2]]","[U' : [S', R2]]",U' D R D R' D' R' D' R' D R U,
