Unnamed: 0,UBL,UBR,LUB,LDF,LDB,FDR,FDL,RUB,RDB,RDF,BUR,BUL,BDL,BDR,DFL,DFR,DBR,DBL
UBL,,,,,,,,,,,,,,,,,,
UBR,"[f' U : [U, R' D R]]",,,,,,,,,,,,,,,,,
LUB,,"[U R' U' D : [R D R', U2]]",,,,,,,,,,,,,,,,
LDF,"[U' : [R' D R, U']]","[U' : [R' D R, U2]]","[U R' : [U2, R' D R]]",,,,,,,,,,,,,,,
LDB,"[U2 : [R D' R', U']]","[U2, R D' R']","[U R' U : [R D' R', U2]]","[D R D : [U', R' D' R]]",,,,,,,,,,,,,,
FDR,"[U' D' : [R' D R, U']]","[U' D' : [R' D R, U2]]","[U D' R' : [U2, R' D R]]","[D, R U' R']","[R U' : [R D' R', U']]",,,,,,,,,,,,,
FDL,"[U' D : [R' D' R, U']]","[U' D : [R' D' R, U2]]","[U' R U : [R' D R, U2]]",,"[U' D : [D, R U R']]","[R D : [U', R' D' R]]",,,,,,,,,,,,
RUB,"[B', R' F R]",,"[R' U' R U D' : [R' D' R, U2]]","[R D : [R U' R', D2]]","[U R : [R D' R', U]]","[R U' R' : [R' D' R, U]]","[f' U : [D, R U R']]",,,,,,,,,,,
RDB,"[U2 : [R D R', U']]","[U2, R D R']","[R U R' U : [R D R', U2]]","[D : [R U' R', D2]]","[R U D' : [R' U R, D2]]","[R U' R', D']","[U' R D : [D, R' U' R]]","[U' R' U : [U, R' D' R]]",,,,,,,,,,
RDF,"[U' : [R' D' R, U']]","[U' : [R' D' R, U2]]","[U R' U : [R D R', U2]]","[R' D : [R U' R', D2]]","[U D' : [R' U R, D2]]",,"[U' : [D, R U R']]","[U' : [F', R B' R']]","[U' R' U : [D', R U R']]",,,,,,,,,
BUR,"[l U' : [R' D R, U2]]",,"[U R' : [U2, R' D' R]]","[R' : [R' D R, U']]","[R' U' : [R D' R', U']]","[D' R' : [R' D R, U']]","[R' D : [R' D' R, U']]",,"[D2 R' : [R' D R, U']]","[R' U' : [R D R', U']]",,,,,,,,
BUL,,"[l U D : [R' D' R, U2]]",,"[U' R' U' : [R U R', D]]","[U2 R U' : [R' U R, D']]","[R U' R' : [R' D' R, U']]","[f' D : [D, R' U R]]","[L, F R' F']","[U R' U', L']","[U' R' U' : [R U R', D']]","[U R U', L']",,,,,,,
BDL,"[U2 D' : [R D R', U']]","[U' D : [R' D R, U2]]","[U D R' : [U2, R' D R]]","[D : [R U' R', D]]",,"[R U' R', D2]","[D R' D' : [R U' R', D2]]","[R D' : [R U' R', D']]","[D' : [R U' R', D']]","[R' D' : [R U' R', D']]","[R' D : [U', R' D R]]","[U R U : [R' U' R, D']]",,,,,,
BDR,"[U2 D : [R D' R', U']]","[U' D' : [R' D' R, U2]]","[U' R U : [R' D' R, U2]]","[R' U : [R' D R, U2]]","[U' D' : [D', R U R']]","[D' R' D : [R U' R', D2]]","[U' D : [R U R', D2]]","[U' D' R' : [R' U R, D]]",,"[U' : [R U R', D']]","[f : [U', R D R']]","[U' D' R' U' : [D', R U R']]","[U2 : [R', U' L U]]",,,,,
DFL,"[U : [D R2 D', L2]]","[R U D R' : [D', R' U R]]","[U' R U D : [R' D' R, U2]]",,"[D L' : [L U' L' U, F2]]","[U' R : [R' U R U', F2]]",,"[U2 R' : [R' D R, U']]","[D' : [L2, U' R U]]","[U' R D : [U, R' D' R]]","[U D R' : [D, R' U R]]","[U2 R' U : [R U' R', D]]","[D' : [D' R' D, L2]]","[U' D' R : [R D' R', U']]",,,,
DFR,"[U : [R2, D' L2 D]]","[R' D R : [U2, R D' R']]","[R' U' R U : [R' D' R, U2]]","[D R D' : [U', R' D R]]","[U R' : [D', R' U R]]",,"[L' : [L U' L' U, F2]]","[D R : [D', R U' R']]","[D' U' R : [R' U R U', F2]]",,"[U : [R B' R', F']]","[U D R U : [R' U' R, D]]","[D R : [D, R U' R']]","[U R' D : [U, R D' R']]","[U' : [D, R2 U R2 U' R2]]",,,
DBR,"[U' : [D L2 D', R2]]","[R2 : [R2 D' R2 D R2, U']]","[U' D R : [R D' R', U2]]","[R : [D, R U' R']]","[U' R D' R' : [R' D R, U]]","[R D' : [U', R' D R]]","[U' D R : [R D' R', U']]","[R : [D', R U' R']]",,"[D' L' : [L U' L' U, F2]]","[R' U' R : [U, R D R']]","[U R U : [R' U' R, D]]","[R : [D2, R U' R']]",,"[R' F R : [R D R', U2]]","[U' : [R2 U R2 U' R2, D']]",,
DBL,"[U' : [L2, D' R2 D]]","[R' B R U' : [R' D' R, U2]]","[U' R : [R D' R', U2]]","[D U' R : [R' U R U', F2]]",,"[L2, U' R U]","[f U' : [R D' R', U']]","[D' R : [D', R U' R']]","[D' R' D, L2]","[U' R : [R D' R', U']]","[U' R : [R D' R', U]]","[U D' R U : [R' U' R, D]]",,"[U' R U' D : [R' U R, D2]]","[D' R' U' R : [U, R D' R']]","[U' R2 : [D', R2 U' R2 U R2]]","[L2, U' R2 U]",
