Unnamed: 0,LF,LD,LB,FR,FD,FL,RB,RD,RF,BL,BD,BR,DF,DR,DB,DL
LF,,,,,,,,,,,,,,,,
LD,"[U L U', S']",,,,,,,,,,,,,,,
LB,"[S L : [S', L2]]","[S', U L' U']",,,,,,,,,,,,,,
FR,"[u' : [R U' R', E']]","[L F2 L', S]","[u R' : [U, R' E R]]",,,,,,,,,,,,,
FD,"[M' U' : [R' E R, U']]","[L F L', S]","[M' U' : [R E' R', U']]","[U' : [M', U' R U]]",,,,,,,,,,,,
FL,,"[L' U : [L U' L', E']]","[u' : [L' U L, E']]","[U' R' U' R : [E, R2]]","[L', U' M' U]",,,,,,,,,,,
RB,"[u' R' U' R' : [E', R2]]","[S', L B2 L']","[E' R : [S, R2]]","[U : [R U R', E']]","[l' : [E, L U L']]","[S R' S', l']",,,,,,,,,,
RD,"[R E R' : [S, R2]]","[U' R' F R' : [S', R2]]","[R' E' R : [S, R2]]","[L2 : [S, L' F2 L]]","[L2 : [S, L' F L]]","[l, E R E']","[E l' E', R']",,,,,,,,,
RF,"[E R' : [S, R2]]","[S', L' F2 L]","[u R U R : [E, R2]]",,"[L : [E', l' U l]]","[S R S', l']","[S' R' : [S', R2]]","[R, E' l E]",,,,,,,,
BL,"[u : [L U' L', E]]","[L U' : [L' U L, E]]",,"[U' R' U' R' : [E', R2]]","[L, U' M' U]","[U2 L : [S', L2]]","[l, S R' S']","[E' R' E, l']","[l, S R S']",,,,,,,
BD,"[M U : [R' E R, U]]","[S', R' D R]","[M U : [R E' R', U]]","[L B' : [E', L2]]",M' U' M U2 M U M' U2,"[U M U', L']","[M : [U', l' E l]]","[r' : [U', L' E L]]","[M : [U', L E' L']]","[U M U', L]",,,,,,
BR,"[u' R : [U', R E' R']]","[L' B2 L, S]","[u : [R' U R, E]]","[R' : [S, R2]]","[U2 : [R', U M' U']]","[U' R U' R' : [E, R2]]",,"[r' : [U2, L' E L]]","[u' : [R' U' R, E']]","[U' R U' R : [E', R2]]","[U2 : [R', U' M U]]",,,,,
DF,"[R' F2 : [R S R', F]]","[S', L' F L]","[f L' : [S', L2]]","[D' L : [E', L2]]",,"[U M2 U', L']","[f' R' : [S', R2]]","[R' f' R' : [S', R2]]","[R S R', F']","[U M2 U', L]","[U' D' : [R F R', S']]","[D' L' : [E, L2]]",,,"[D' : [L2, S]]",
DR,"[R' E R : [U2, R E' R']]","[U' : [L' F' L, S]]","[U' u' R' : [E, R2]]","[u2 R : [E', R2]]","[R' F' R' : [S, R2]]","[U2 R' : [E, R2]]","[U' u' R : [E', R2]]",,"[U u R' : [E, R2]]","[U2 R : [E', R2]]","[L B' L' : [S, L2]]","[u2 R' : [E, R2]]","[S L F L : [S', L2]]",,,
DB,"[S R' B : [E, R2]]","[S', L B' L']","[R B2 : [R' S R, B']]","[D L : [E', L2]]","[U' D : [R F R', S']]","[U' M2 U, L']","[R' S R, B]","[R2 : [S, R B R']]","[r : [L F L', S']]","[U' M2 U, L]",,"[D L' : [E, L2]]",[u : (M' u2)2],"[S' R' B R : [S', R2]]",,
DL,"[E L : [E', L2]]",,"[E' L' : [E, L2]]","[L : [E', L2]]","[S U : [M', U2]]","[S : [U2, R' E R]]","[E' L : [E', L2]]","[U' : [R F R', S']]","[E L' : [E, L2]]","[S : [U2, R E' R']]","[S U' : [M, U2]]","[L' : [E, L2]]","[L D L : [S, L2]]","[L2, S]","[L D' L : [S, L2]]",
