Unnamed: 0,UL,LU,LF,LD,LB,FR,FD,FL,RB,RD,RF,BL,BD,BR,DF,DR,DB,DL
UL,,,,,,,,,,,,,,,,,,
LU,,,,,,,,,,,,,,,,,,
LF,"[R' E R, U2]","[U' M U, L']",,,,,,,,,,,,,,,,
LD,"[U2, L E L']","[D : [R' F' R, S]]","[E R' E', l']",,,,,,,,,,,,,,,
LB,"[R E' R', U2]","[U' M U, L]","[S L' : [S, L2]]","[l, E' R E]",,,,,,,,,,,,,,
FR,"[R, S' R2 S']","[R, U M U']","[R, S' l' S]","[E' l' E, R']","[R U : [R' U' R, E']]",,,,,,,,,,,,,
FD,"[M U : [M, U2]]","[R' F' R, S]","[M' : [U', r' E r]]","[R' : [F', R' S' R]]","[M' : [U', R E' R']]","[U M' U', R]",,,,,,,,,,,,
FL,"[S R2 S', l']","[R' F2 R, S]",,"[R' : [F2, R' S' R]]","[u' : [L' U' L, E']]","[U R' U' R : [E, R2]]","[U2 : [L', U' M' U]]",,,,,,,,,,,
RB,"[U2, L' E L]","[S', L' B2 L]","[u' R' U R' : [E', R2]]","[L E L : [S', L2]]","[E L : [S', L2]]","[U : [R U' R', E']]","[M' U2 : [R' S' R, U']]","[u R : [R E' R', U']]",,,,,,,,,,
RD,"[R' E' R, U2]","[D' : [R' F' R, S]]","[R F2 R', S]","[U R' F R' : [S', R2]]","[R' B2 R, S]","[R u' : [R' U R, E']]","[S', R' F' R]","[S', R' F2 R]","[U' R U, S]",,,,,,,,,
RF,"[U2, L E' L']","[S', L F2 L']","[E' L' : [S', L2]]","[L' E' L' : [S', L2]]","[u R U' R : [E, R2]]",,"[R' D' : [R' S R, D']]","[U : [L' U L, E']]","[S' R : [S, R2]]","[S, U' R' U]",,,,,,,"[b R : [S, R2]]",
BL,"[S R2 S', l]","[R B2 R', S]","[u : [L U L', E]]","[l : [U2, R E' R']]",,"[U R' U' R' : [E', R2]]","[R F' : [R2, E']]","[L : [S', L2]]","[u' : [L U' L', E']]","[R B2 R', S']","[u' R' : [U, R' E R]]",,,,,,,
BD,"[R' B R : [S, R2]]","[R B R', S]","[M : [U, R' E R]]","[l : [U, R E' R']]","[M : [U, r E' r']]","[U' M U, R]",M' U M U2 M U' M' U2,"[R' B : [E, R2]]","[U' M2 : [U' R' U, M']]","[R E' R', D']","[R' D2 : [R' S R, D']]","[U' : [M, U' L U]]",,,,,,
BR,"[R', S' R2 S']","[R', U M U']","[R' U' : [R U R', E]]","[E l E', R]","[R', S' l S]","[U2 R' : [S, R2]]","[R', U M' U']","[U R U' R' : [E, R2]]",,"[R' U : [R U' R', E']]","[u' : [R' U R, E']]","[U R U' R : [E', R2]]","[R', U' M U]",,,,,
DF,"[U' : [M', U2]]","[S', L F L']","[L' S' L, F]","[L f L : [S, L2]]","[f L : [S, L2]]","[U' M2 U, R]",,"[D R' : [E, R2]]","[f' R : [S, R2]]","[S, R F' R']","[L F2 : [L' S' L, F']]","[D R : [E', R2]]","[R M : [U R' U', M]]","[U' M2 U, R']",,,"[D : [R2, S']]",
DR,"[S, R2]","[D' : [S', L F L']]","[E' R : [E', R2]]","[U : [L' F' L, S]]","[E R' : [E, R2]]",U2 R' U' R' U R U R U R' U,"[S' U' : [M', U2]]","[R' : [E, R2]]","[E R : [E', R2]]",,"[E' R' : [E, R2]]","[R : [E', R2]]","[S' U : [M, U2]]",U2 R U R U' R' U' R' U' R U',"[R' D' R' : [S', R2]]",,,
DB,"[U : [M, U2]]","[S', L' B' L]","[l' : [R' F' R, S]]","[L2 : [S', L' B' L]]","[l : [S', R U' R']]","[U M2 U', R]","[r : [U' R' U, M']]","[D' R' : [E, R2]]","[D' R' S' R : [S, R2]]","[S, R' B R]","[F D' : [R2, S']]","[D' R : [E', R2]]",,"[U M2 U', R']",[u' : (M' u2)2],"[R' D R : [S', R2]]",,
DL,"[L2, S']","[D : [S', L F L']]","[S U2 R : [E, R2]]",,"[S U2 R' : [E', R2]]","[U2 L : [E', L2]]","[L F L : [S', L2]]","[u2 L' : [E, L2]]","[U u L : [E', L2]]","[U : [R F R', S']]","[U' u' L' : [E, L2]]","[u2 L : [E', L2]]","[R' B R : [S', R2]]","[U2 L' : [E, L2]]",D' R' D' R D R D R D' R',"[S', R2]",D R D R' D' R' D' R' D R,
