first/last,FD,DF,DR,DB,DL,RB,RD,LB,LD,BD,BR,BL,,,,
FD,,,"[M' U' R' : [E, R2]]","[D L D', M]","[L' : [U' M' U, L']]","[l' : [U, l' E l]]","[R E R', D]","[F, L' S L]","[S : [L', U' M' U]]","[D' : [R E R', D2]]","[r U' R' : [E, R2]]","[r U' L : [S', L2]]",,PROGRESS (120 TOTAL),120,
DF,,,"[M2 U R' : [E, R2]]","[L' D : [S, L2]]","[L' : [U M2 U', L']]","[F R U' R : [E, R2]]","[R' F R U' R : [E, R2]]","[L : [S, L F L']]","[r UE L : [E', L2]]","[M : [U' L' U, M]]","[R' D R : [E, R2]]","[D L' : [S, L2]]",,,,
DR,"[M' U' R : [E, R2]]","[M2 U R : [E, R2]]",,"[M2 U' R : [E, R2]]","[l' U2 R' : [E, R2]]","[L S L' : [E, L2]]",,"[R B' R' U R : [E, R2]]","[S', R F2 R']","[M U R : [E, R2]]","[R' U R U' R : [E, R2]]","[L' : [S, L2]]",,comms w/ RS 4 mover,2,0.01666666667
DB,"[M, D L D']","[L' D : [L2, S]]","[M2 U' R' : [E, R2]]",,"[L' : [U' M2 U, L']]","[r' : [r' E r, U]]","[M u R : [E, R2]]","[L' S' L, B']","[r' u' L : [E', L2]]",,"[R' D' R : [E, R2]]","[D' L' : [S, L2]]",,comms w/ LS 4 mover,16,0.1333333333
DL,"[L' : [L', U' M' U]]","[L' : [L', U M2 U']]","[l' U2 R : [E, R2]]","[L' : [L', U' M2 U]]",,"[L' u' L : [U, L E' L']]","[l', E R E']","[L : [U L' U', S']]",,"[L' : [L', U M U']]","[L' U' L U L' : [E, L2]]","[u2 R' : [S', R2]]",,comms w/ LE 4 mover,14,0.1166666667
RB,"[l' : [l' E l, U]]","[F R U' R' : [E, R2]]","[L S L : [E, L2]]","[r' : [U, r' E r]]","[L' u' L : [L E' L', U]]",,"[S L S', r]","[L S L', B2]","[R' S' R' : [E, R2]]","[R : [D', R E R']]",,"[L' E' L' : [E', L2]]",,comms w/ RE 4 mover,32,0.2666666667
RD,"[D, R E R']","[R' F R U' R' : [E, R2]]",,"[M u R' : [E, R2]]","[E R E', l']","[r, S L S']",,"[R' F R U' R : [E', R2]]","[S' R' : [E, R2]]","[D', R E R']","[R' u R : [U', R E' R']]","[S' L : [S', L2]]",,comms w/ MU 4 mover,0,0
LB,"[L' S L, F]","[L : [L F L', S]]","[R B' R' U R' : [E, R2]]","[B', L' S' L]","[L : [S', U L' U']]","[B2, L S L']","[R' F R U' R' : [E', R2]]",,"[L' : [U L U', S']]","[L : [S', L B' L']]","[L' : [S, L' B2 L]]",,,comms w/ MD 4 mover,0,0
LD,"[S : [U' M' U, L']]","[r UE L' : [E', L2]]","[R F2 R', S']","[r' u' L' : [E', L2]]",,"[R' S' R : [E, R2]]","[S' R : [E, R2]]","[L' : [S', U L U']]",,"[S : [U M U', L']]","[L' u L : [L E' L', U']]","[S' L' : [S, L2]]",,comms w/ Mu 4 mover,0,0
BD,"[D : [R E R', D2]]","[M : [M, U' L' U]]","[M U R' : [E, R2]]",,"[L' : [U M U', L']]","[R : [R E R', D']]","[R E R', D']","[L : [L B' L', S']]","[S : [L', U M U']]",,"[l U' L : [E, L2]]","[M U L : [S', L2]]",,total w/ 4 movers,64,0.5333333333
BR,"[r U' R : [E, R2]]","[R' D R' : [E, R2]]","[R' U R U' R' : [E, R2]]","[R' D' R' : [E, R2]]","[L' U' L U L : [E, L2]]",,"[R' u R : [R E' R', U']]","[L' : [L' B2 L, S]]","[L' u L : [U', L E' L']]","[l U' L' : [E, L2]]",,"[E, L2]",,U perm variants,0,0
BL,"[r U' L' : [S', L2]]","[D L : [S, L2]]","[L : [S, L2]]","[D' L : [S, L2]]","[u2 R : [S', R2]]","[L' E' L : [E', L2]]","[S' L' : [S', L2]]",,"[S' L : [S, L2]]","[M U L' : [S', L2]]","[L2, E]",,,total E comms,66,0.55
