1st Target:,UB,UR,UF,UL,LU,LD,LB,FU,FR,FD,RU,RB,RD,RF,BU,BL,BD,BR,DF,DR,DB,DL
UB,,,,,,,,,,,,,,,,,,,,,,
UR,,,,,,,,,,,,,,,,,,,,,,
UF,,,,,,,,,,,,,,,,,,,,,,
UL,,,,,,,,,,,,,,,,,,,,,,
LU,,,,,,,,,,,,,,,,,,,,,,
LD,,,,,,,"[L' : [S' , U L U']]",,,,,"[R S' R : [E , R2']]","[S' R : [E , R2']]",,,"[S' L' : [S , L2]]",,"[R2 E R : [S' , R2']]",,"[R F2' R' , S']",,
LB,,,,,,"[L' : [U L U' , S']]",,,,,,"[B2' , L S L']","[R' F R U' R' : [E' , R2]]",,,,,"[L' : [S , L' B2' L]]",,"[R B' R' U R' : [E , R2]]",,"[L2' u : [L U' L' , E]]"
FU,,,,,,,,,,,,,,,,,,,,,,
FR,,,,,,,,,,,,,,,,,,,,,,
FD,,,,,,,,,,,,,,,,,,,,,,
RU,,,,,,,,,,,,,,,,,,,,,,
RB,,,,,,"[R S' R' : [E , R2]]","[L S L' , B2']",,,,,,"[S L S' , r]",,,"[r' : [E r' E' , L2]]",,,,"[L S L : [E , L2']]",,"[L , S' r S]"
RD,,,,,,"[S' R' : [E , R2]]","[R' F R U' R : [E' , R2']]",,,,,"[r , S L S']",,,,"[S' L : [S' , L2']]",,"[L2' E L' : [S , L2]]",,,,"[E R E' , l']"
RF,,,,,,,,,,,,,,,,,,,,,,
BU,,,,,,,,,,,,,,,,,,,,,,
BL,,,,,,"[S' L : [S , L2']]",,,,,,"[R : [E' R' E , l2']]","[S' L' : [S' , L2]]",,,,,"[L2' , E]",,"[L : [S , L2']]",,"[u2 R : [S' , R2']]"
BD,,,,,,,,,,,,,,,,,,,,,,
BR,,,,,,"[R2' E R' : [S' , R2]]","[L2' : [B2' , L S L']]",,,,,,"[L2 E L : [S , L2']]",,,"[E , L2']",,,,"[R' U R U' R' : [E , R2]]",,"[L' U' L U L : [E , L2']]"
DF,,,,,,,,,,,,,,,,,,,,,,
DR,,,,,,"[S' , R F2' R']","[R B' R' U R : [E , R2']]",,,,,"[L S L' : [E , L2]]",,,,"[L' : [S , L2]]",,"[R' U R U' R : [E , R2']]",,,,"[R' F2 R' : [S' , R2]]"
DB,,,,,,,,,,,,,,,,,,,,,,
DL,,,,,,,"[L : [U L' U' , S']]",,,,,"[S' r S , L]","[l' , E R E']",,,"[u2 R' : [S' , R2]]",,"[L' U' L U L' : [E , L2]]",,"[R' F2 R : [S' , R2']]",,
