1st Target:,UB,UR,UF,UL,LU,LF,LB,FU,FR,FD,FL,RU,RB,RD,RF,BU,BL,BD,BR,DF,DR,DB
UB,,,,,,,,,,,,,,,,,,,,,,
UR,,,,,,,,,,,,,,,,,,,,,,
UF,,,,,,,,,,,,,,,,,,,,,,
UL,,,,,,,,,,,,,,,,,,,,,,
LU,,,,,,,,,,,,,,,,,,,,,,
LF,,,,,,,,,,,,,,,,,,,,,,
LB,,,,,,,,,,,,,"[u R : [S' , R2']]",,,,,,"[R S' R : [E' , R2']]",,,
FU,,,,,,,,,,,,,,,,,,,,,,
FR,,,,,,,,,,,,,,,,,,,,,,
FD,,,,,,,,,,,,,,,,,,,,,,
FL,,,,,,,,,,,,,,,,,,,,,,
RU,,,,,,,,,,,,,,,,,,,,,,
RB,,,,,,,"[u R' : [S' , R2]]",,,,,,,,,,"[S' r S , L']",,,,,
RD,,,,,,,,,,,,,,,,,,,,,,
RF,,,,,,,,,,,,,,,,,,,,,,
BU,,,,,,,,,,,,,,,,,,,,,,
BL,,,,,,,,,,,,,"[l' , S' R S]",,,,,,"[L U' L' U L : [E , L2']]",,,
BD,,,,,,,,,,,,,,,,,,,,,,
BR,,,,,,,"[R S' R' : [E' , R2]]",,,,,,,,,,"[L U' L' U L' : [E , L2]]",,,,,
DF,,,,,,,,,,,,,,,,,,,,,,
DR,,,,,,,,,,,,,,,,,,,,,,
DB,,,,,,,,,,,,,,,,,,,,,,
